species;lon;lat;municipality;adm1
Euterpe edulis;-47.922847;-25.072889;Cananéia;São Paulo
Euterpe edulis;-48.193056;-15.388889;Padre Bernardo;Goiás
Euterpe edulis;-39.090278;-13.328889;Valença;Bahia
Euterpe edulis;-39.471667;-12.869444;Santa Terezinha;Bahia
Euterpe edulis;-48.183333;-23.0333;Bofete;São Paulo
Euterpe edulis;-39.471667;-12.869444;Santa Teresinha;Bahia
Euterpe edulis;-51.906944;-19.575333;Inocência;Mato Grosso do Sul
Euterpe edulis;-43.891667;-21.7;Lima Duarte;Minas Gerais
Euterpe edulis;-40.676944;-20.096389;Santa Maria de Jetibá;Espírito Santo
Euterpe edulis;-46.716667;-23.55;São Paulo;São Paulo
Euterpe edulis;-50.975556;-23.540833;Londrina;Paraná
Euterpe edulis;-39.997222;-19.156111;Linhares;Espírito Santo
Euterpe edulis;-35.9433;-9.3067;Murici;Alagoas
Euterpe edulis;-40.553056;-19.9075;Santa Teresa;Espírito Santo
Euterpe edulis;-40.553056;-19.9075;Santa Teresa;Espírito Santo
Euterpe edulis;-40.553056;-19.9075;Santa Teresa;Espírito Santo
Euterpe edulis;-36.0319;-9.1628;União dos Palmares;Alagoas
Euterpe edulis;-35.88;-9.221528;União dos Palmares;Alagoas
Euterpe edulis;-39.151667;-14.024444;Camamu;Bahia
Euterpe edulis;-39.0675;-15.167778;Una;Bahia
Euterpe edulis;-39.083333;-15.15;Una;Bahia
Euterpe edulis;-39.083333;-15.15;Una;Bahia
Euterpe edulis;-39.083333;-15.15;Una;Bahia
Euterpe edulis;-39.016667;-16.266667;Santa Cruz Cabrália;Bahia
Euterpe edulis;-50.1085;-29.601861;Terra de Areia;Rio Grande do Sul
Euterpe edulis;-45.070833;-23.434167;Ubatuba;São Paulo
Euterpe edulis;-48.033333;-24.266667;Sete Barras;São Paulo
Euterpe edulis;-48.033333;-24.266667;Sete Barras;São Paulo
Euterpe edulis;-48.033333;-24.266667;Sete Barras;São Paulo
Euterpe edulis;-48.033333;-24.266667;Sete Barras;São Paulo
Euterpe edulis;-47.925556;-24.387778;Sete Barras;São Paulo
Euterpe edulis;-48.033333;-24.266667;Sete Barras;São Paulo
Euterpe edulis;-47.925556;-24.387778;Sete Barras;São Paulo
Euterpe edulis;-48.033333;-24.266667;Sete Barras;São Paulo
Euterpe edulis;-41.416667;-12.45;Lençóis;Bahia
Euterpe edulis;-48.283333;-13.716667;Minaçu;Goiás
Euterpe edulis;-46.774444;-23.9;São Paulo;São Paulo
Euterpe edulis;-44.566667;-22.25;Itatiaia;Rio de Janeiro
Euterpe edulis;-40.530278;-19.971389;Santa Teresa;Espírito Santo
Euterpe edulis;-41.198333;-20.914444;Atílio Vivácqua;Espírito Santo
Euterpe edulis;-47.216667;-24.05;Miracatu;São Paulo
Euterpe edulis;-39.325278;-16.4625;PORTO SEGURO;Bahia
Euterpe edulis;-42.25;-22.5;Silva Jardim;Rio de Janeiro
Euterpe edulis;-39.069167;-14.781944;IlhÃ©us;Bahia
Euterpe edulis;-46.774444;-23.9;São Paulo;São Paulo
Euterpe edulis;-42.25;-22.5;Silva Jardim;Rio de Janeiro
Euterpe edulis;-42.25;-22.5;Silva Jardim;Rio de Janeiro
Euterpe edulis;-40.530278;-19.971389;Santa Teresa;Espírito Santo
Euterpe edulis;-40.530278;-19.971389;Santa Teresa;Espírito Santo
Euterpe edulis;-40.530278;-19.971389;Santa Teresa;Espírito Santo
Euterpe edulis;-41.916667;-13.25;Abaíra;Bahia
Euterpe edulis;-42.033333;-20.766667;Carangola;Minas Gerais
Euterpe edulis;-38.351081;-19.133642;Conceição da Barra;Espírito Santo
Euterpe edulis;-42.033333;-20.766667;Carangola;Minas Gerais
Euterpe edulis;-42.033333;-20.766667;Carangola;Minas Gerais
Euterpe edulis;-40.530278;-19.971389;Santa Teresa;Espírito Santo
Euterpe edulis;-40.530278;-19.971389;Santa Teresa;Espírito Santo
Euterpe edulis;-48.3;-13.833333;Colinas do Sul;Goiás
Euterpe edulis;-48.3;-13.833333;Colinas do Sul;Goiás
Euterpe edulis;-42.5;-22.55;Nova Friburgo;Rio de Janeiro
Euterpe edulis;-40.063611;-19.1375;Linhares;Espírito Santo
Euterpe edulis;-39.7;-17.483333;TEIXEIRA DE FREITAS;Bahia
Euterpe edulis;-38.9;-15.85;BELMONTE;Bahia
Euterpe edulis;-39.65;-18.083333;MUCURÍ;Bahia
Euterpe edulis;-40.632778;-19.915;Santa Teresa;Espírito Santo
Euterpe edulis;-40.530278;-19.971389;Santa Teresa;Espírito Santo
Euterpe edulis;-40.632778;-19.915;Santa Teresa;Espírito Santo
Euterpe edulis;-42.531111;-22.281944;Nova Friburgo;Rio de Janeiro
Euterpe edulis;-40.530278;-19.971389;Santa Teresa;Espírito Santo
Euterpe edulis;-40.530278;-19.971389;Santa Teresa;Espírito Santo
Euterpe edulis;-40.632778;-19.915;Santa Teresa;Espírito Santo
Euterpe edulis;-40.924167;-20.176944;Santa Maria de Jetibá;Espírito Santo
Euterpe edulis;-40.924167;-20.176944;Santa Maria de Jetibá;Espírito Santo
Euterpe edulis;-40.063611;-19.1375;Linhares;Espírito Santo
Euterpe edulis;-39.65;-18.083333;MUCURÍ;Bahia
Euterpe edulis;-42.05;-22;Nova Friburgo;Rio de Janeiro
Euterpe edulis;-42.05;-22;Nova Friburgo;Rio de Janeiro
Euterpe edulis;-42.05;-22;Nova Friburgo;Rio de Janeiro
Euterpe edulis;-40.530278;-19.971389;Santa Teresa;Espírito Santo
Euterpe edulis;-40.589167;-19.922222;Santa Teresa;Espírito Santo
Euterpe edulis;-40.530278;-19.971389;Santa Teresa;Espírito Santo
Euterpe edulis;-40.530278;-19.971389;Santa Teresa;Espírito Santo
Euterpe edulis;-40.6003;-19.9356;Santa Teresa;Espírito Santo
Euterpe edulis;-40.589167;-19.922222;Santa Teresa;Espírito Santo
Euterpe edulis;-40.616667;-19.936111;Santa Teresa;Espírito Santo
Euterpe edulis;-40.632778;-19.915;Santa Teresa;Espírito Santo
Euterpe edulis;-40.632778;-19.915;Santa Teresa;Espírito Santo
Euterpe edulis;-40.632778;-19.915;Santa Teresa;Espírito Santo
Euterpe edulis;-38.433333;-12.166667;ALAGOINHAS;Bahia
Euterpe edulis;-39.05;-13.5;Cairu;Bahia
Euterpe edulis;-39.05;-13.5;CAIRÚ;Bahia
Euterpe edulis;-40.063611;-19.1375;Linhares;Espírito Santo
Euterpe edulis;-40.063611;-19.1375;Linhares;Espírito Santo
Euterpe edulis;-39.133333;-16.383333;SANTA CRUZ CABRÁLIA;Bahia
Euterpe edulis;-79.666667;9.133333;J. Summit;Panama
Euterpe edulis;-39.069167;-14.781944;IlhÃ©us;Bahia
Euterpe edulis;-40.6075;-19.931389;Santa Teresa;Espírito Santo
Euterpe edulis;-39.285278;-16.618611;Porto Seguro;Bahia
Euterpe edulis;-39.285278;-16.618611;Porto Seguro;Bahia
Euterpe edulis;-40.530278;-19.971389;Santa Teresa;Espírito Santo
Euterpe edulis;-39.133333;-16.383333;SANTA CRUZ CABRÁLIA;Bahia
Euterpe edulis;-39.133333;-16.383333;Santa Cruz Cabrália;Bahia
Euterpe edulis;-48.552778;-27.158056;Porto Belo;Sc
Euterpe edulis;-38.3;-12.483333;Camaçari;Bahia
Euterpe edulis;-39.416667;-16.883333;Porto Seguro;Bahia
Euterpe edulis;-39.416667;-16.883333;PORTO SEGURO;Bahia
